name,variant,median_time,byte_size,build_time,searcher,dataset
RMI,0,182.742,402653216,0,BinarySearch,books_200M_uint64
RMI,1,187.532,201326608,0,BinarySearch,books_200M_uint64
RMI,2,195.728,100663312,0,BinarySearch,books_200M_uint64
RMI,3,239.658,41943040,0,BinarySearch,books_200M_uint64
RMI,4,219.693,12582928,0,BinarySearch,books_200M_uint64
RMI,5,217.271,6291472,0,BinarySearch,books_200M_uint64
RMI,6,247.152,786464,0,BinarySearch,books_200M_uint64
RMI,7,323.682,24608,0,BinarySearch,books_200M_uint64
RMI,8,396.776,6160,0,BinarySearch,books_200M_uint64
RMI,9,451.788,3088,0,BinarySearch,books_200M_uint64
MWHC,0,294.061,861000241,128376820548,BinarySearch,books_200M_uint64
CompactedMWHC,0,501.048,734602249,128305485095,BinarySearch,books_200M_uint64
SimpleHollowTrie,0,1042.31,1600000016,97098130998,BinarySearch,books_200M_uint64
HollowTrie,0,1527.99,294299152,261404211610,BinarySearch,books_200M_uint64

